topic,message_type,bag_time_ns,bag_time_s,time_from_start_s,header_time_ns,header_time_s,z
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014998005338,1784323014.998005152,4.373547047,1784136754431586724,1784136754.431586742,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015032056970,1784323015.032057047,4.407598679,1784136754750203991,1784136754.750203848,0.000043049254
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015125442477,1784323015.125442505,4.500984186,1784136754531742092,1784136754.531742096,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015157952820,1784323015.157952785,4.533494529,1784136754850146878,1784136754.850146770,-0.000137596467
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015249525116,1784323015.249525070,4.625066825,1784136754631745209,1784136754.631745338,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015283998458,1784323015.283998489,4.659540167,1784136754949995698,1784136754.949995756,-0.000058435539
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015373723405,1784323015.373723507,4.749265114,1784136754731511875,1784136754.731511831,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015416624104,1784323015.416624069,4.792165813,1784136755050817608,1784136755.050817490,0.000026959629
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015498844270,1784323015.498844147,4.874385979,1784136754831698363,1784136754.831698418,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015540664845,1784323015.540664911,4.916206554,1784136755150184260,1784136755.150184155,0.000006679535
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015625841020,1784323015.625840902,5.001382729,1784136754931711075,1784136754.931710958,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015660938025,1784323015.660938025,5.036479734,1784136755250091660,1784136755.250091791,-0.000046487514
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015748987472,1784323015.748987436,5.124529181,1784136755031778818,1784136755.031778812,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015787646003,1784323015.787646055,5.163187712,1784136755350184637,1784136755.350184679,0.000019715665
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015875120895,1784323015.875120878,5.250662604,1784136755131744496,1784136755.131744623,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015907316055,1784323015.907315969,5.282857764,1784136755450138893,1784136755.450138807,0.000012768391
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015999684730,1784323015.999684572,5.375226439,1784136755231617897,1784136755.231617689,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016053386908,1784323016.053386927,5.428928617,1784136755550025154,1784136755.550025225,-0.000001749821
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016125555753,1784323016.125555754,5.501097462,1784136755331742750,1784136755.331742764,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016161034612,1784323016.161034584,5.536576321,1784136755650165702,1784136755.650165796,0.000059556721
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016249492816,1784323016.249492645,5.625034525,1784136755431765957,1784136755.431766033,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016295871436,1784323016.295871496,5.671413145,1784136755750090140,1784136755.750090122,0.000032550620
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016374631802,1784323016.374631643,5.750173511,1784136755531688468,1784136755.531688452,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016418632791,1784323016.418632746,5.794174500,1784136755850369150,1784136755.850368977,0.000039521475
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016502626845,1784323016.502626896,5.878168554,1784136755631627072,1784136755.631627083,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016536236468,1784323016.536236525,5.911778177,1784136755950163361,1784136755.950163364,-0.000057947385
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016623513601,1784323016.623513699,5.999055310,1784136755731541075,1784136755.731540918,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016672952551,1784323016.672952652,6.048494260,1784136756050017389,1784136756.050017357,0.000083351354
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016750257144,1784323016.750257254,6.125798853,1784136755831703738,1784136755.831703901,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016791603674,1784323016.791603804,6.167145383,1784136756150246736,1784136756.150246620,0.000131926633
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016874072612,1784323016.874072552,6.249614321,1784136755931701304,1784136755.931701183,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323016906554271,1784323016.906554461,6.282095980,1784136756250270412,1784136756.250270367,0.000107640701
/spool_cable_odom,nav_msgs/msg/Odometry,1784323016999275276,1784323016.999275208,6.374816985,1784136756031758704,1784136756.031758547,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323017038941640,1784323017.038941622,6.414483349,1784136756350088487,1784136756.350088358,0.000048060936
/kiss/odometry,nav_msgs/msg/Odometry,1784323017163766633,1784323017.163766623,6.539308342,1784136756450832893,1784136756.450832844,0.000002052201
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017187579278,1784323017.187579393,6.563120987,1784136756181678338,1784136756.181678295,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017249910375,1784323017.249910355,6.625452084,1784136756231607942,1784136756.231608152,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017378510763,1784323017.378510952,6.754052472,1784136756331732568,1784136756.331732512,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323017396160716,1784323017.396160841,6.771702425,1784136756650111864,1784136756.650111675,0.000060189236
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017498308677,1784323017.498308659,6.873850386,1784136756431719609,1784136756.431719780,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323017537227324,1784323017.537227154,6.912769033,1784136756750286305,1784136756.750286341,-0.000073433815
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017624146362,1784323017.624146461,6.999688071,1784136756531747475,1784136756.531747580,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323017661339344,1784323017.661339283,7.036881053,1784136756850203304,1784136756.850203276,0.000043881255
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017750656526,1784323017.750656605,7.126198235,1784136756631755066,1784136756.631755114,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323017793756324,1784323017.793756485,7.169298033,1784136756950021934,1784136756.950021982,-0.000020109584
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017874064669,1784323017.874064684,7.249606378,1784136756731795469,1784136756.731795549,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323017998244408,1784323017.998244286,7.373786117,1784136756831517305,1784136756.831517220,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018042801580,1784323018.042801619,7.418343289,1784136757150190249,1784136757.150190353,-0.000008462017
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018124160187,1784323018.124160290,7.499701896,1784136756931799917,1784136756.931799889,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018164384889,1784323018.164384842,7.539926598,1784136757250132772,1784136757.250132799,-0.000053807606
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018249273701,1784323018.249273539,7.624815410,1784136757031779754,1784136757.031779766,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018374806538,1784323018.374806643,7.750348247,1784136757131698613,1784136757.131698608,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018425788651,1784323018.425788641,7.801330360,1784136757450186721,1784136757.450186729,0.000021530783
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018502773107,1784323018.502773046,7.878314816,1784136757231539550,1784136757.231539488,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018533740887,1784323018.533740759,7.909282596,1784136757550059652,1784136757.550059795,-0.000063952842
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018624555867,1784323018.624555826,8.000097576,1784136757331665905,1784136757.331665993,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018659879231,1784323018.659879208,8.035420940,1784136757650257002,1784136757.650256872,-0.000153176026
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018751196711,1784323018.751196623,8.126738420,1784136757431779539,1784136757.431779623,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018790501394,1784323018.790501356,8.166043103,1784136757750184554,1784136757.750184536,-0.000025665574
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018878039242,1784323018.878039360,8.253580951,1784136757531795779,1784136757.531795740,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323018920018225,1784323018.920018196,8.295559934,1784136757850000951,1784136757.850000858,-0.000006829332
/spool_cable_odom,nav_msgs/msg/Odometry,1784323018998379327,1784323018.998379230,8.373921036,1784136757631717335,1784136757.631717443,0.000000000000
